Changing Point,Changing Rate,Burst Duration(in time),Processivity
0.023232323232323233,9.07188435786408,0.05050505050505051,0.45817597766990315
0.07373737373737374,0.5128295784173982,0.16363636363636364,0.08391756737739242
0.23737373737373738,-7.367250778631809,0.0010101010101010166,-0.007441667453163492
0.2383838383838384,4.011359594195316,0.01414141414141415,0.05672629729165096
0.25252525252525254,2.285451997274588,0.01717171717171717,0.039245135306735346
0.2696969696969697,0.9471299676955133,0.009090909090909094,0.008610272433595578
0.2787878787878788,3.361321419456555,0.016161616161616155,0.05432438657707561
0.29494949494949496,3.456253551132836,0.025151007563067873,0.08692825920442215
0.32010050251256283,7.1436676387101565,0.010050251256281395,0.0717956546604035
0.33015075376884423,4.285020274552889,0.013065326633165786,0.05598518951677123
0.34321608040201,5.784833546557736,0.009045226130653283,0.05232512755680374
0.3522613065326633,4.216690741863601,0.004020100502512558,0.01695152057030591
0.35628140703517586,2.8795375025088616,0.23058727983351102,0.6639847198821003
0.5868686868686869,-1.767640718849136,0.3172129457843744,-0.5607185195145437
0.9040816326530613,1.8453328745909565,0.006122448979591799,0.011297956375046603
0.9102040816326531,-0.9584432241432741,0.04999999999999993,-0.04792216120716364
